Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for bsd-amd64 JRE (1.8.0_291-b10), built on Apr  8 2021 02:17:24 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 11.0.0 (clang-1100.0.33.17)
Memory: 4k page, physical 16777216k(107496k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=209715200 -XX:MaxTenuringThreshold=15 -XX:NewSize=209715200 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=20971520 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
117.380: [GC (Allocation Failure) 117.380: [ParNew: 104404K->0K(153600K), 0.0005295 secs] 105359K->954K(256000K), 0.0006336 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.390: [GC (Allocation Failure) 118.391: [ParNew: 94164K->10240K(153600K), 0.0012307 secs] 95119K->11194K(256000K), 0.0022887 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
119.401: [GC (Allocation Failure) 119.401: [ParNew: 104404K->20480K(153600K), 0.0017752 secs] 105359K->21434K(256000K), 0.0019308 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
120.410: [GC (Allocation Failure) 120.410: [ParNew: 114644K->30720K(153600K), 0.0023737 secs] 115599K->31674K(256000K), 0.0025173 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
122.417: [GC (Allocation Failure) 122.418: [ParNew: 124884K->0K(153600K), 0.0004899 secs] 125839K->954K(256000K), 0.0005688 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
123.426: [GC (Allocation Failure) 123.426: [ParNew: 94164K->10240K(153600K), 0.0007740 secs] 95119K->11194K(256000K), 0.0013510 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
124.436: [GC (Allocation Failure) 124.437: [ParNew: 104404K->10240K(153600K), 0.0007258 secs] 105359K->11194K(256000K), 0.0011677 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
125.444: [GC (Allocation Failure) 125.444: [ParNew: 104404K->10240K(153600K), 0.0007698 secs] 105359K->11194K(256000K), 0.0008942 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
126.449: [GC (Allocation Failure) 126.449: [ParNew: 104404K->0K(153600K), 0.0003903 secs] 105359K->954K(256000K), 0.0004613 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
127.454: [GC (Allocation Failure) 127.454: [ParNew: 94164K->10240K(153600K), 0.0011103 secs] 95119K->11194K(256000K), 0.0012121 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
128.463: [GC (Allocation Failure) 128.463: [ParNew: 104404K->20480K(153600K), 0.0018841 secs] 105359K->21434K(256000K), 0.0020112 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
129.476: [GC (Allocation Failure) 129.476: [ParNew: 114644K->30720K(153600K), 0.0037183 secs] 115599K->31674K(256000K), 0.0039095 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
131.558: [GC (Allocation Failure) 131.558: [ParNew: 124884K->0K(153600K), 0.0018332 secs] 125839K->954K(256000K), 0.0019665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
132.574: [GC (Allocation Failure) 132.574: [ParNew: 94164K->10240K(153600K), 0.0179270 secs] 95119K->11194K(256000K), 0.0181597 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
133.603: [GC (Allocation Failure) 133.603: [ParNew: 104404K->10240K(153600K), 0.0100000 secs] 105359K->11194K(256000K), 0.0102340 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
134.626: [GC (Allocation Failure) 134.626: [ParNew: 104404K->10240K(153600K), 0.0021496 secs] 105359K->11194K(256000K), 0.0023860 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
135.646: [GC (Allocation Failure) 135.646: [ParNew: 104404K->0K(153600K), 0.0012239 secs] 105359K->954K(256000K), 0.0014000 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
136.662: [GC (Allocation Failure) 136.662: [ParNew: 94164K->10240K(153600K), 0.0021293 secs] 95119K->11194K(256000K), 0.0024132 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
